DocTitle,IndexerTime
402401299.xml,7
1065124069.xml,9
792214039.xml,7
895788169.xml,7
361058289.xml,8
139623919.xml,25
640870009.xml,19
897380839.xml,12
1601258309.xml,16
1794977889.xml,9
1133161149.xml,9
1683143449.xml,19
360598629.xml,9
430552539.xml,9
1728165279.xml,10
493438439.xml,8
136783899.xml,9
2015693959.xml,7
1833874339.xml,8
1349281839.xml,8
896160889.xml,8
1243209.xml,14
1441452999.xml,20
623573029.xml,9
328971739.xml,17
213383899.xml,14
180477429.xml,9
841174079.xml,8
1597126329.xml,7
91439949.xml,7
1193140929.xml,8
1411467489.xml,9
1420189899.xml,8
1530073089.xml,9
1181417129.xml,17
1017120439.xml,8
1799028919.xml,9
141271409.xml,14
1624520319.xml,9
2002695139.xml,14
660481619.xml,11
1370901929.xml,11
1730224809.xml,14
449961189.xml,8
1791501619.xml,10
1681830729.xml,9
1887305799.xml,7
1291741479.xml,8
166096589.xml,8
1850152959.xml,8
2026984769.xml,8
221486739.xml,7
2130447999.xml,13
1426242969.xml,14
41726839.xml,8
1842975989.xml,9
768508249.xml,10
1819366129.xml,22
1850150169.xml,15
1726740849.xml,15
1980017059.xml,10
1795947929.xml,11
1732153529.xml,7
2068287639.xml,18
547425509.xml,10
1707915049.xml,14
626959.xml,8
421356899.xml,15
2127369599.xml,15
857568009.xml,9
1646308889.xml,8
795702999.xml,10
4340069.xml,10
1932717329.xml,10
457003049.xml,7
1068353689.xml,11
792484249.xml,9
1777522009.xml,8
258755089.xml,9
1763149729.xml,9
1997373369.xml,15
602886789.xml,9
116580609.xml,10
388736999.xml,10
961677109.xml,16
12816929.xml,15
1553638039.xml,7
1178931409.xml,13
1379138749.xml,8
424604089.xml,10
1612965819.xml,8
623164359.xml,8
1275508329.xml,14
528346719.xml,9
2043273709.xml,15
1914109329.xml,8
2135673719.xml,14
1644823899.xml,15
336491009.xml,9
1692081129.xml,14
573697639.xml,9
1626536699.xml,20
148036839.xml,10
183342979.xml,15
324894919.xml,19
960854779.xml,10
1882857549.xml,9
1686442579.xml,14
1193413229.xml,14
1046426179.xml,22
547466169.xml,16
694013619.xml,20
1324492829.xml,17
1535167569.xml,15
243812759.xml,13
1530697579.xml,16
708777759.xml,10
1221333749.xml,9
538874289.xml,9
653143569.xml,9
453141559.xml,7
380627709.xml,17
1648861759.xml,21
886549059.xml,10
387902889.xml,11
2139575979.xml,15
434547549.xml,10
1621932749.xml,8
1443319.xml,9
