DocTitle,IndexerTime
1629997750.xml,8
1362845440.xml,8
2130454550.xml,7
1731516540.xml,8
1728749160.xml,8
2077710040.xml,7
1446210440.xml,7
1436858930.xml,8
773185820.xml,6
583233940.xml,8
192686830.xml,6
1061207150.xml,6
788257950.xml,7
1426122440.xml,6
1629890360.xml,7
510163940.xml,10
2081329860.xml,8
339729457.xml,6
278934047.xml,4
1442459327.xml,8
462873167.xml,8
285250167.xml,7
665694377.xml,7
256117937.xml,5
1662545177.xml,7
1432535107.xml,7
1318925347.xml,8
1910089917.xml,8
763604527.xml,8
32934357.xml,7
1651145147.xml,14
412205057.xml,14
2079807447.xml,12
1957886067.xml,12
1777938337.xml,19
1959754137.xml,15
2023815747.xml,17
859682777.xml,5
1427416637.xml,14
1042634657.xml,17
1191592717.xml,12
644035127.xml,5
471517347.xml,7
1517931717.xml,12
1287051957.xml,18
1406096957.xml,7
1819976167.xml,8
1850150257.xml,8
1816673297.xml,7
401130967.xml,6
1335330677.xml,4
1973972667.xml,7
17841407.xml,6
1334056307.xml,5
2121283537.xml,7
1363506567.xml,6
1817071647.xml,6
1153043817.xml,5
314618367.xml,11
2123757317.xml,14
76355357.xml,6
1400261187.xml,6
139478697.xml,13
1087912567.xml,7
66319087.xml,7
143320857.xml,12
924379897.xml,7
908432417.xml,6
1158631577.xml,6
1358017127.xml,7
1665114977.xml,11
1825174997.xml,5
1731537437.xml,19
1427414037.xml,5
3495797.xml,7
1393090427.xml,5
1868108407.xml,27
159716847.xml,11
719228837.xml,6
933721797.xml,8
1754179587.xml,5
80766737.xml,8
1822941897.xml,7
1561853097.xml,11
1323554107.xml,5
1140672827.xml,12
1603456207.xml,9
259233937.xml,7
1732165217.xml,8
1498111337.xml,6
471528007.xml,9
2137475297.xml,6
448690397.xml,13
1523992637.xml,21
1623825367.xml,11
804970477.xml,13
711492327.xml,8
1455381097.xml,7
264873717.xml,7
1482127857.xml,5
101887597.xml,6
541566137.xml,8
1682805107.xml,16
1551658067.xml,9
418257837.xml,6
871043867.xml,8
6144737.xml,9
122593707.xml,7
852249977.xml,8
84764367.xml,8
152663617.xml,10
585032237.xml,8
647265217.xml,7
453380537.xml,8
884875127.xml,7
7427827.xml,11
1371570037.xml,9
102870317.xml,16
390684687.xml,19
772739337.xml,7
2101175447.xml,9
1664750107.xml,9
2068063207.xml,8
549074047.xml,17
220102967.xml,7
912344927.xml,7
1980014047.xml,8
2062062427.xml,8
736455537.xml,9
1907709207.xml,6
2137892247.xml,9
2134478747.xml,7
1908306397.xml,7
1488768827.xml,7
1838301077.xml,14
739548297.xml,6
543573657.xml,7
351009547.xml,5
44224597.xml,4
1433174637.xml,7
2141499777.xml,6
1065911337.xml,6
325372387.xml,4
269014977.xml,4
1844876897.xml,9
1745711967.xml,19
419190327.xml,11
1279642367.xml,15
1372080217.xml,8
1732316797.xml,8
240763017.xml,7
1628377697.xml,7
608777497.xml,8
1420520547.xml,12
1890536707.xml,5
1230313327.xml,8
771622787.xml,11
414345007.xml,5
724573787.xml,8
1732559027.xml,4
1930985827.xml,20
1727622857.xml,51
1980016187.xml,7
994757117.xml,7
2144309657.xml,19
424689637.xml,7
1980014237.xml,5
1747498767.xml,8
828630767.xml,8
507172037.xml,5
2079458807.xml,5
676674087.xml,5
1415724217.xml,10
